"house_age","needs_renovation","house_price","house_sold","number_of_bedrooms","lot_size","garage_presence"
9,"0",620165.604289778,"1",5,218,"1"
2,"0",760388.590577407,"1",1,342,"1"
37,"0",677822.57321942,"1",2,351,"1"
10,"0",648355.224914973,"0",2,277,"0"
32,"0",899634.735354368,"1",5,486,"1"
38,"0",756077.705113957,"0",2,424,"0"
50,"0",469710.956080545,"1",3,223,"0"
12,"1",779177.188706247,"1",1,411,"0"
15,"0",933646.144367808,"0",5,484,"0"
13,"0",676619.530188382,"1",1,313,"0"
1,"0",577415.475112085,"1",3,192,"0"
14,"0",910163.144264468,"1",4,462,"1"
26,"0",806002.26343134,"1",4,419,"0"
9,"0",410546.213175876,"1",4,66,"1"
11,"0",417582.807379206,"1",1,99,"1"
15,"1",463783.552493566,"0",4,143,"1"
0,"0",947960.846060791,"1",4,458,"1"
17,"0",732795.877346723,"1",4,331,"1"
5,"0",416987.595221964,"1",5,64,"0"
10,"0",527462.809626328,"0",4,158,"1"
46,"0",433235.36911872,"1",4,168,"1"
39,"1",729207.989689153,"1",5,395,"1"
22,"0",828229.80601845,"0",3,424,"1"
44,"0",563369.263466445,"1",4,263,"1"
12,"0",827417.463918019,"1",5,387,"1"
20,"0",425889.874414695,"1",3,109,"1"
30,"0",656652.390907818,"1",4,312,"0"
27,"1",666000.819139308,"0",4,326,"1"
32,"0",547257.370212201,"0",4,225,"1"
11,"0",685961.244053692,"0",2,298,"1"
46,"0",339797.535155267,"0",2,122,"0"
36,"0",685557.501695071,"0",1,362,"1"
0,"0",589065.222225476,"0",1,214,"0"
32,"0",831922.972928472,"1",2,467,"0"
9,"1",495638.258887936,"1",5,155,"0"
11,"0",665074.967776215,"1",5,267,"0"
5,"1",893988.576804831,"0",1,483,"0"
8,"0",617109.072474142,"1",3,230,"1"
1,"1",965996.302691792,"1",5,499,"0"
28,"0",429819.477098789,"1",3,132,"1"
29,"0",438871.606597437,"1",4,143,"0"
15,"0",805963.612245866,"1",2,399,"1"
16,"0",465363.434218249,"0",4,124,"1"
1,"0",601682.272898141,"1",1,217,"1"
27,"1",390436.463914071,"0",4,115,"1"
39,"0",535635.400961064,"0",3,239,"1"
43,"0",351925.379488798,"1",3,106,"1"
27,"0",849680.024391274,"1",2,470,"0"
38,"1",245223.801511901,"0",2,53,"0"
37,"0",646614.368244503,"0",5,304,"1"
4,"1",491369.431941356,"1",5,129,"1"
8,"0",787654.15352667,"1",2,369,"1"
47,"0",411234.723745541,"0",1,187,"0"
29,"1",373483.245958279,"0",3,123,"0"
31,"0",467833.921795996,"1",5,152,"1"
37,"0",690299.026876363,"1",2,361,"1"
36,"0",611355.429330171,"1",5,284,"0"
45,"0",303821.370837682,"0",4,75,"0"
39,"0",775575.446182595,"1",3,433,"0"
39,"0",284289.5461497,"0",1,60,"1"
11,"0",714303.02062209,"1",5,296,"1"
20,"0",837256.599949684,"0",4,418,"1"
17,"1",796155.421226192,"0",3,411,"1"
45,"0",475839.877193977,"1",4,199,"1"
26,"0",808826.747045302,"1",2,436,"0"
48,"0",479022.097663282,"0",4,208,"1"
23,"0",353745.81107681,"0",1,87,"0"
32,"0",646857.695642174,"1",2,315,"1"
42,"0",291496.989358224,"0",2,76,"0"
35,"0",399090.938385588,"0",3,134,"0"
3,"0",515840.704987749,"1",5,125,"1"
38,"1",341781.808442054,"0",3,110,"1"
34,"1",392136.89403208,"0",5,135,"0"
10,"1",361625.98993161,"0",2,77,"0"
32,"0",699669.22323331,"1",4,342,"1"
46,"0",400275.081593488,"0",4,143,"1"
14,"0",431256.697940576,"1",5,85,"1"
25,"0",413642.86654096,"1",5,95,"1"
45,"0",720997.603537708,"0",4,397,"0"
40,"0",722355.236721624,"1",4,376,"1"
37,"0",588226.534645652,"1",1,290,"1"
41,"1",760958.21709115,"1",3,449,"0"
24,"0",816880.543666923,"1",5,404,"1"
44,"0",839425.659402161,"1",1,499,"1"
23,"0",417771.052083352,"0",1,136,"0"
45,"0",532194.091999312,"0",1,266,"1"
8,"0",686896.61780596,"1",2,292,"1"
42,"0",701345.285713834,"1",3,381,"0"
26,"0",737453.363304035,"0",4,365,"0"
18,"1",318913.241093011,"0",1,61,"1"
45,"1",326990.865208196,"0",1,131,"1"
19,"0",801139.913467347,"1",3,395,"1"
7,"0",824462.120270598,"1",5,373,"1"
22,"1",311221.00818194,"0",4,50,"0"
22,"1",505022.024732061,"1",2,216,"0"
14,"0",370025.668274973,"1",1,79,"0"
12,"0",778114.226061731,"0",2,371,"1"
14,"0",845484.670519628,"1",5,403,"1"
39,"0",564928.120899218,"1",5,255,"0"
8,"1",844692.282145806,"1",4,420,"1"
38,"1",733089.134206772,"0",1,437,"0"
45,"0",667169.201052343,"1",3,354,"1"
3,"0",928626.775127399,"1",5,441,"1"
34,"0",519186.264210049,"0",2,231,"0"
27,"0",781804.164415095,"1",4,393,"1"
8,"0",536960.349926929,"1",4,170,"0"
26,"0",599200.862566787,"1",5,242,"1"
3,"1",579719.198508671,"1",2,220,"1"
2,"0",664483.585087615,"1",1,267,"1"
0,"0",708503.520778328,"1",5,276,"0"
29,"0",814886.52195268,"0",5,415,"1"
46,"1",342646.894494963,"0",4,123,"1"
18,"0",743723.977442932,"1",4,342,"1"
18,"0",751670.998369066,"1",1,372,"1"
43,"0",725529.586299966,"1",2,402,"1"
18,"0",509321.275635632,"0",1,196,"0"
31,"0",603967.147286313,"0",5,267,"0"
3,"0",479915.508059886,"1",3,123,"0"
49,"0",705972.487142282,"1",5,387,"0"
6,"0",527691.31872467,"1",3,156,"1"
8,"0",408486.7926312,"0",4,61,"1"
1,"0",691617.494242113,"1",5,255,"1"
7,"0",710847.248749414,"1",2,316,"0"
46,"0",636653.29504371,"0",3,341,"0"
45,"0",315731.033345285,"0",5,68,"1"
39,"0",778878.945324398,"1",1,452,"0"
7,"0",473315.541692145,"1",3,117,"1"
5,"0",653031.840220927,"1",1,268,"1"
15,"0",713654.276017971,"1",3,330,"0"
8,"0",782820.994901452,"1",5,340,"1"
9,"0",422371.853001645,"1",2,100,"0"
19,"0",599629.89843867,"1",1,258,"1"
40,"1",537772.19371975,"1",1,291,"0"
29,"1",453504.173571503,"0",5,160,"1"
3,"1",476704.063691555,"1",1,160,"0"
40,"0",581329.448351342,"1",4,277,"0"
20,"1",692431.910025672,"1",5,324,"1"
38,"0",617366.871029772,"1",5,285,"1"
0,"0",675815.799773807,"1",4,259,"0"
6,"1",568801.719950186,"0",4,204,"1"
15,"1",586935.286333388,"1",4,248,"0"
10,"1",746955.440648144,"1",5,352,"0"
25,"0",908256.109963108,"0",3,493,"1"
14,"1",514404.398111481,"1",2,205,"0"
25,"1",445291.074573744,"0",2,166,"1"
17,"0",719272.523640922,"0",3,330,"1"
37,"1",418794.103330734,"0",2,176,"1"
9,"0",638054.732858821,"1",1,263,"1"
41,"0",559856.072596732,"1",5,246,"1"
22,"0",489054.031734228,"0",1,179,"1"
36,"0",859494.172183825,"1",4,482,"0"
12,"0",730177.345649878,"1",2,344,"0"
43,"0",508510.485172685,"0",4,229,"0"
41,"1",600221.245938608,"1",3,316,"1"
22,"0",385335.769168276,"1",4,76,"1"
27,"0",826768.978276098,"1",1,459,"0"
23,"0",460141.349276268,"0",2,162,"0"
30,"0",867078.172524074,"1",5,467,"0"
2,"1",427190.049801111,"1",5,87,"0"
11,"1",873078.582527005,"1",2,464,"1"
10,"0",797113.004388691,"0",5,367,"0"
14,"0",456812.607144503,"1",4,112,"1"
45,"1",276201.993475616,"0",5,70,"0"
15,"0",706041.710042586,"1",4,306,"1"
44,"1",637846.13493837,"1",2,369,"0"
21,"0",684590.171138405,"1",1,329,"1"
10,"0",438959.414415608,"0",1,121,"0"
41,"1",439451.28070503,"0",5,185,"0"
36,"1",432233.173237537,"0",1,191,"1"
49,"1",679710.880592006,"1",5,389,"0"
31,"0",543226.577271527,"1",3,235,"0"
45,"0",371715.564165761,"1",3,127,"1"
24,"0",503918.472613332,"1",5,164,"1"
20,"0",851434.907880524,"1",5,422,"1"
18,"0",574988.31642113,"0",5,206,"1"
27,"0",393905.144385371,"1",4,93,"1"
46,"0",786875.546996226,"1",2,457,"1"
11,"1",746716.645395227,"1",1,384,"0"
36,"0",355821.639061995,"1",4,85,"1"
16,"0",365552.648047822,"0",1,70,"1"
11,"0",966919.317600974,"1",5,490,"1"
37,"0",649091.631818262,"0",3,322,"1"
25,"0",837374.945018015,"1",4,440,"0"
25,"0",723155.120505753,"1",3,360,"0"
35,"0",365494.86409157,"0",1,113,"1"
19,"0",394614.047909455,"0",1,109,"0"
24,"0",732424.825785264,"1",4,348,"1"
18,"0",915165.704897756,"0",1,497,"1"
33,"0",487239.847412643,"1",3,198,"0"
25,"0",786373.618771832,"1",1,417,"1"
48,"0",545073.350504284,"1",4,259,"1"
36,"0",390707.036504943,"1",5,115,"0"
42,"0",321590.090747151,"0",2,98,"0"
29,"0",444962.387034892,"1",5,131,"1"
8,"0",799862.12076102,"1",3,371,"1"
44,"0",404722.34065617,"0",1,175,"0"
7,"0",465258.243468814,"0",1,126,"1"
19,"0",473550.249202118,"0",4,147,"0"
40,"0",504558.285153535,"1",2,225,"1"
17,"0",787975.368002078,"1",2,390,"1"
46,"0",332914.61137717,"1",4,101,"0"
44,"0",755456.214311657,"0",1,435,"1"
13,"0",628169.406963333,"0",1,276,"0"
12,"0",461395.600136075,"1",2,126,"1"
44,"0",627546.324365561,"0",2,329,"1"
43,"0",608516.304001981,"1",2,311,"1"
17,"0",685377.694665164,"0",4,295,"1"
11,"0",576640.136387916,"1",2,214,"1"
28,"0",726895.349039171,"1",2,377,"0"
22,"1",737240.468321788,"1",5,373,"0"
14,"0",403870.714272415,"1",5,73,"0"
28,"1",499241.885934614,"0",4,200,"1"
8,"0",920404.43407355,"1",4,456,"1"
45,"0",405008.106279577,"1",3,162,"0"
10,"1",513244.390966119,"0",4,169,"1"
6,"0",481963.243349928,"0",3,130,"0"
17,"0",780038.425920263,"1",3,386,"0"
33,"0",771582.231772217,"0",3,416,"0"
22,"0",532304.73296442,"1",1,222,"0"
42,"1",265463.480166153,"0",1,86,"0"
0,"0",784815.820003679,"1",5,336,"0"
12,"0",625325.007833285,"1",1,261,"1"
28,"0",777342.058104142,"1",2,416,"0"
22,"0",718224.694058478,"0",1,356,"1"
18,"0",926039.641397268,"1",3,490,"1"
36,"1",779246.440498093,"0",4,445,"0"
23,"0",411791.353108866,"1",4,99,"1"
11,"0",825920.87066946,"1",3,397,"1"
49,"0",823484.046582131,"0",2,490,"1"
32,"0",872499.425487261,"1",2,489,"1"
21,"0",706771.740926023,"1",1,344,"1"
36,"0",831374.320218633,"0",3,459,"1"
43,"0",763173.152382264,"1",4,424,"0"
49,"0",542777.212574418,"1",2,276,"1"
0,"0",449191.236769396,"1",4,74,"1"
49,"0",599420.294493153,"0",5,305,"0"
24,"0",538825.805219601,"1",3,215,"0"
16,"1",414383.097205331,"0",2,123,"1"
9,"0",587889.823082031,"1",4,211,"0"
21,"0",622054.496904179,"1",2,272,"1"
14,"0",855264.756504935,"1",2,434,"1"
43,"0",286341.263550684,"1",3,65,"0"
26,"0",486876.167850706,"1",3,172,"1"
4,"1",638124.32505509,"1",1,285,"0"
11,"1",722303.737395368,"1",4,333,"1"
38,"0",735548.144210595,"1",2,398,"1"
43,"1",457642.093113587,"1",1,227,"1"
21,"0",830287.18545591,"1",1,437,"1"
16,"0",379374.868697249,"0",1,92,"0"
12,"0",865452.484086476,"1",3,430,"1"
7,"1",540515.949710669,"1",3,193,"1"
14,"1",866753.807315248,"0",1,484,"0"
20,"0",910367.484623138,"1",3,492,"0"
9,"0",872368.428105262,"1",5,422,"0"
40,"0",509127.156159925,"1",4,223,"0"
18,"0",802317.683481504,"1",3,404,"0"
28,"0",357734.88495531,"0",2,84,"1"
19,"0",631472.973634803,"1",1,282,"1"
30,"0",858701.357258035,"1",1,491,"0"
17,"0",668577.95016966,"1",5,275,"1"
31,"0",480530.353820492,"0",2,185,"1"
37,"0",806155.330381489,"1",3,442,"1"
39,"1",570181.670606761,"1",2,305,"0"
27,"1",480957.995287241,"1",1,216,"0"
26,"0",829597.257088778,"1",1,450,"1"
11,"0",913095.22271532,"1",3,474,"0"
47,"1",725260.978913168,"0",4,419,"1"
12,"0",442255.499384612,"0",2,112,"1"
25,"0",449458.640724821,"0",1,156,"1"
26,"0",491232.021824809,"1",3,175,"1"
15,"0",627854.871580215,"1",4,246,"1"
25,"0",700797.78198055,"1",2,342,"1"
32,"0",900903.379278422,"1",4,495,"1"
19,"0",464279.322748287,"1",4,130,"1"
23,"0",454003.858004767,"0",3,148,"0"
32,"0",472425.45323069,"0",1,189,"1"
47,"1",679337.163553026,"0",2,398,"1"
31,"0",474315.725893889,"0",1,189,"1"
32,"0",711669.803293937,"1",2,366,"1"
11,"0",643123.431227148,"1",2,273,"0"
48,"0",576063.891621056,"1",5,285,"0"
38,"0",856723.068324212,"1",5,468,"1"
2,"1",804495.650749791,"0",3,383,"1"
0,"0",826912.636316562,"0",1,397,"0"
10,"0",591220.413204325,"1",1,232,"1"
43,"1",713756.625223492,"1",1,433,"0"
11,"0",647456.669969296,"1",4,253,"1"
10,"1",720047.367213759,"1",3,347,"0"
46,"0",650674.909076792,"1",5,329,"1"
0,"0",550600.242996909,"0",2,177,"0"
19,"0",776151.87444339,"0",5,371,"0"
33,"0",625387.46493359,"1",5,279,"1"
22,"0",700614.44428901,"1",4,319,"1"
10,"1",930130.065654073,"1",4,490,"1"
22,"0",449869.075570493,"1",4,136,"0"
9,"0",613093.735478458,"1",4,221,"1"
7,"1",476401.24693459,"1",5,126,"1"
2,"0",539874.29483367,"1",4,148,"1"
50,"0",346252.350059766,"0",5,113,"0"
6,"0",553182.485532428,"1",4,169,"1"
26,"0",404841.861162582,"0",1,124,"1"
16,"0",479318.533349403,"1",4,135,"1"
48,"0",397042.767601221,"0",1,178,"0"
36,"0",831690.606414274,"1",1,483,"0"
44,"0",437161.986183042,"1",4,167,"1"
18,"0",563835.533686591,"0",2,230,"0"
16,"0",633724.17014931,"1",4,263,"0"
27,"0",788055.82398098,"1",4,396,"1"
12,"0",562785.106660022,"0",5,192,"0"
38,"0",628779.519838438,"0",1,324,"1"
22,"0",742377.514852021,"1",1,383,"0"
25,"0",887025.444581922,"1",3,477,"1"
5,"1",661604.241163406,"1",2,287,"1"
22,"1",378194.631171237,"0",1,128,"0"
8,"0",823254.820427972,"1",3,388,"1"
29,"0",405629.694501791,"0",1,140,"0"
11,"0",441590.948550829,"1",2,109,"1"
50,"1",427830.974055667,"0",4,205,"0"
24,"0",569516.997479924,"1",1,247,"1"
18,"0",874697.245761157,"1",1,477,"0"
3,"0",499057.341899767,"1",3,127,"1"
5,"0",762408.626607395,"0",1,350,"1"
22,"1",381335.919206805,"0",4,106,"0"
20,"0",376158.697075897,"1",4,64,"1"
45,"0",511998.496404145,"1",2,252,"0"
37,"1",460513.329094174,"0",3,200,"1"
25,"0",819040.331731844,"1",3,424,"1"
5,"0",873273.492370062,"1",4,412,"1"
1,"0",518223.156224571,"1",3,147,"0"
42,"0",594108.663030068,"1",3,301,"0"
45,"0",686118.353045442,"1",5,362,"0"
25,"1",824248.186514583,"1",1,476,"0"
18,"0",913091.335900966,"1",2,489,"1"
13,"0",855265.584246345,"1",3,425,"1"
6,"0",899880.187897591,"1",5,428,"1"
24,"1",647963.067685095,"0",2,331,"0"
2,"0",459259.536263778,"1",1,120,"0"
23,"0",616744.142349873,"1",1,280,"1"
0,"0",580102.690809121,"0",1,197,"1"
13,"0",607250.010525335,"0",2,242,"1"
24,"0",577379.456253662,"0",5,230,"0"
50,"0",412868.697372,"0",2,187,"0"
9,"0",961378.189060845,"1",5,481,"1"
14,"0",469242.55977784,"0",5,115,"1"
0,"0",546908.113095592,"0",5,150,"0"
50,"0",324529.660203944,"1",5,86,"1"
32,"1",802035.63276059,"1",4,452,"0"
49,"0",773705.918280656,"1",2,463,"0"
30,"0",368227.682685381,"1",5,83,"0"
35,"0",850311.227899704,"0",2,479,"1"
35,"0",485728.240618692,"0",5,175,"1"
15,"0",935794.212886858,"0",4,484,"1"
8,"0",399081.897623782,"1",1,78,"1"
46,"0",492461.808880411,"1",3,222,"1"
6,"0",523757.216426895,"1",1,168,"1"
3,"1",825636.876339649,"1",3,411,"0"
34,"0",617371.599388903,"1",3,290,"1"
14,"0",661795.203414907,"1",4,270,"1"
28,"1",311992.298217908,"0",5,59,"0"
30,"0",739898.144672067,"1",4,378,"0"
10,"1",681413.376840732,"1",2,325,"0"
14,"0",832959.994919715,"1",3,410,"1"
20,"0",866666.015203724,"1",3,459,"0"
33,"1",665988.453555078,"0",3,348,"1"
37,"0",761072.022896898,"1",3,418,"0"
15,"0",731964.754248983,"1",2,342,"1"
43,"0",718083.817935382,"0",2,397,"1"
15,"0",697079.002939901,"1",3,317,"0"
38,"0",376224.228244656,"0",2,120,"1"
44,"0",326444.808752443,"0",2,98,"1"
16,"1",433228.841449094,"0",2,147,"0"
2,"0",620859.675178273,"1",5,203,"1"
3,"0",476713.401124531,"0",2,118,"1"
12,"0",630316.284781468,"0",2,266,"0"
42,"0",816606.915838458,"1",3,461,"1"
40,"0",653345.46650869,"1",5,316,"1"
12,"0",812828.239168744,"1",3,389,"1"
35,"0",727358.833496682,"0",3,386,"0"
25,"0",337463.116534644,"1",3,64,"0"
35,"0",360293.766531101,"0",4,97,"0"
25,"0",752452.782392686,"1",2,381,"1"
8,"0",629075.016916469,"1",4,231,"1"
48,"0",616727.100164575,"1",2,330,"1"
21,"0",614623.237366869,"1",5,243,"1"
35,"0",356020.903332449,"1",4,82,"1"
30,"0",774071.286687702,"1",4,403,"0"
9,"1",347286.990395197,"0",2,65,"0"
48,"1",743170.770254698,"1",5,426,"1"
49,"0",681379.272109807,"0",4,365,"1"
27,"1",493319.022463091,"1",1,218,"1"
37,"1",467893.271753997,"0",1,221,"1"
40,"0",315231.12606072,"1",3,71,"1"
41,"0",615729.622233124,"1",3,314,"0"
33,"0",565007.608476832,"1",2,264,"0"
45,"0",328405.419232094,"0",1,118,"0"
1,"0",469066.44094915,"1",4,102,"0"
33,"0",429021.336900292,"0",2,151,"1"
6,"1",724421.507876749,"1",3,330,"1"
39,"1",666159.485852662,"1",1,389,"0"
13,"0",351157.73012854,"0",1,61,"0"
8,"0",424762.654345568,"1",1,107,"0"
0,"1",485413.468678095,"1",5,127,"0"
26,"0",765433.215091935,"1",4,388,"0"
2,"0",703130.242795137,"1",2,289,"1"
25,"0",671812.221635795,"1",5,306,"0"
6,"0",668940.702089382,"1",3,276,"0"
5,"1",869577.074853923,"1",4,432,"1"
10,"1",875548.930755242,"1",4,450,"1"
16,"0",860573.260759846,"1",2,443,"1"
1,"1",382422.06970609,"0",3,65,"0"
43,"0",318825.443632572,"1",5,75,"0"
13,"0",576727.514785879,"0",5,195,"1"
21,"0",834700.121408979,"0",2,434,"1"
8,"0",639232.260853471,"1",4,240,"1"
25,"1",495300.525801599,"0",5,183,"1"
12,"0",802668.548635338,"1",4,374,"1"
41,"0",390415.801098775,"1",5,117,"1"
3,"1",678093.500675137,"1",3,290,"1"
24,"0",904475.320087617,"1",3,488,"1"
13,"0",396108.187062743,"1",5,64,"0"
